GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Location,Home,40,31,9,0.775,1361.5916666666667,327,573,0.571,1,7,0.143,174,302,0.576,107,313,420,124,118,38,103,46,101,254,829,455,1824.0,23,0,1656.0,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
Location,Road,40,27,13,0.675,1364.3416666666667,291,558,0.522,0,2,0.0,188,266,0.707,106,320,426,149,106,28,87,47,102,216,770,293,1743.7,22,0,1575.0,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2
